Estacao,Elevador,PlataformaVertical,PlataformaInclinada
General Osório,13,,
Cantagalo,2,2,
Siqueira Campos,4,,
Cardeal Arcoverde,,,4
Botafogo,1,,1
Flamengo,,2,
Largodo do Machado,1,2,
Catete,1,2,
Glória,1,2,
Cinelândia,1,1,
Carioca,,,2
Uruguaiana,1,2,
Presidente Vargas,1,2,
Central,,,2
Praça Onze,,3,
Estácio,,,4
São Francisco Xavier,1,2,
Afonso Pena,1,2,
Saens Peña,,,2
Uruguai,4,2,
Cidade Nova,6,,
São Cristovão,,2,
Maracanã,2,,
Triagem,2,,
Maria da Graça,2,1,
Del Castilho,,2,
Inhaúma,,2,
Engenho da Rainha,1,,
Tomás Coelho,,,2
Vicente de Carvalho,,2,
Irajá,,,1
Colégio,,,1
Coelho Neto,2,,
Acari Fazenda Botafogo,1,,
Engenheiro Rubens Paiva,1,,
Pavuna,2,,1
