Estacao,EscadaRolante,TapeteRolante
Ipanema General Osório,16,6
Cantagalo,11,2
Siqueira Campos,9,
Cardeal Arcoverde,8,3
Botafogo,4,
Flamengo,2,
Largo do Machado,2,
Catete,3,
Glória,3,
Cinelândia,4,
Carioca,8,
Uruguaiana,8,
Presidente Vargas,2,
Central,17,
Praça Onze,2,
Estácio,10,
São Francisco Xavier,,
Afonso Pena,,
Saens Pena,2,
Uruguai,10,
Cidade Nova ,6,
São Cristovão ,,
Maracanã  ,4,
Triagem  ,2,
Maria da Graça ,2,
Del Castilho ,,
Inhaúma  ,,
Engenho da Rainha ,,
Tomás Coelho ,,
Vicente de Carvalho ,,
Irajá ,1,
Colégio ,1,
Coelho Neto,,
Acari Fazenda Botafogo,,
Engenheiro Rubens Paiva,,
Pavuna,2,
