Sigla,Estacao,TorniquetesEntrada,TorniquetesSaida
URI,Uruguai,15,10
SPN,Saens Peña,17,8
SFX,São Francisco Xavier,6,5
AFP,Afonso Pena,6,6
ESA,Estácio,9,6
POZ,Praça Onze,9,6
CTR,Central,31,11
PVG,Presidente Vargas,7,7
URG,Uruguaiana,19,16
CRC,Carioca,22,20
CNL,Cinelândia,18,9
GLR,Glória,4,4
CTT,Catete,5,5
LMC,Largo do Machado,8,7
FLA,Flamengo,8,5
BTF,Botafogo,22,10
CAV,Cardeal Arcoverde,10,4
SCP,Siqueira Campos,21,12
CTG,Cantagalo,12,4
GOS,General Osório,20,10
CNV,Cidade Nova,7,7
SCR,São Cristóvão,13,7
MRC,Maracanã,16,5
TRG,Triagem,6,4
MRG,Maria da Graça,5,6
DCT,Del Castilho,6,2
INH,Inhaúma,3,2
ERN,Engenheiro Rubens Paiva,5,3
TCL,Tomás Coelho,4,1
VCV,Vicente de Carvalho,7,2
IRJ,Irajá,5,4
CLG,Colégio,5,4
CNT,Coelho Neto,7,3
AFB,Acari Fazenda Botafogo,4,3
ERP,Engenho da Rainha,4,3
PVN,Pavuna,21,4
